Tppt;Vendor_ID;Vendor_Name;Route;Route_Name;Shipping_Type;Shipping Type Name;Kapasitas;OA;Source;Destination
3003;20009966;Deli Jaya;R00427;PTB-TM MENGGER-7108;MH;Truck 40 M3;40;2.500.000;PTB;TM MENGGER-7108
3003;20014588;Seino Indomobil Logistics, PT;R00427;PTB-TM MENGGER-7108;MI;Truck 45 M3;45;2.200.000;PTB;TM MENGGER-7108
3003;20005043;CV SANTIKA MANDIRI;R00427;PTB-TM MENGGER-7108;MI;Truck 45 M3;45;2.450.000;PTB;TM MENGGER-7108
3003;20009128;PT Sinar Guna Lestari;R00427;PTB-TM MENGGER-7108;MI;Truck 45 M3;45;2.600.000;PTB;TM MENGGER-7108
3003;20012860;PT Citra Karya Putra Transportasi;R00427;PTB-TM MENGGER-7108;MI;Truck 45 M3;45;2.700.000;PTB;TM MENGGER-7108
3003;20009966;Deli Jaya;R00427;PTB-TM MENGGER-7108;MI;Truck 45 M3;45;2.750.000;PTB;TM MENGGER-7108
3003;20010271;PT HANA JAYA PUTRA TRANSPORT;R00427;PTB-TM MENGGER-7108;MI;Truck 45 M3;45;3.000.000;PTB;TM MENGGER-7108
3003;20010271;PT HANA JAYA PUTRA TRANSPORT;R00427;PTB-TM MENGGER-7108;MI;Truck 45 M3;45;3.300.000;PTB;TM MENGGER-7108
3003;20015058;PT JEJE HARAPAN TRANSINDO;R00427;PTB-TM MENGGER-7108;MI;Truck 45 M3;45;4.400.000;PTB;TM MENGGER-7108
3003;20009128;PT Sinar Guna Lestari;R00427;PTB-TM MENGGER-7108;MJ;Truck 50 M3;50;2.750.000;PTB;TM MENGGER-7108
3003;20010890;PT Hiba Logistik;R00427;PTB-TM MENGGER-7108;MJ;Truck 50 M3;50;2.800.000;PTB;TM MENGGER-7108
3003;20010147;PT JAYA PRATAMA PERKASA;R00427;PTB-TM MENGGER-7108;MJ;Truck 50 M3;50;2.990.000;PTB;TM MENGGER-7108
3003;20013166;PT MITRA TOTAL PERSADA;R00427;PTB-TM MENGGER-7108;MJ;Truck 50 M3;50;3.000.000;PTB;TM MENGGER-7108
3003;20012429;CV Trans Logistik;R00427;PTB-TM MENGGER-7108;MJ;Truck 50 M3;50;3.041.566;PTB;TM MENGGER-7108
3003;20009966;Deli Jaya;R00427;PTB-TM MENGGER-7108;MJ;Truck 50 M3;50;3.076.000;PTB;TM MENGGER-7108
3003;20013800;Andri Jaya, UD;R00427;PTB-TM MENGGER-7108;MJ;Truck 50 M3;50;3.076.884;PTB;TM MENGGER-7108
3003;20013765;PT CITRABATI LOGISTIK INTERNASIONAL;R00427;PTB-TM MENGGER-7108;MJ;Truck 50 M3;50;3.087.054;PTB;TM MENGGER-7108
3003;20011057;CV SANTOSA JAYA ABADI;R00427;PTB-TM MENGGER-7108;MJ;Truck 50 M3;50;3.100.000;PTB;TM MENGGER-7108
3003;20011284;PT RAPI TRANS LOGISTIK INDONESIA;R00427;PTB-TM MENGGER-7108;MJ;Truck 50 M3;50;3.109.968;PTB;TM MENGGER-7108
3003;20045876;PT Serasi Logistic Indonesia;R00427;PTB-TM MENGGER-7108;MJ;Truck 50 M3;50;3.135.000;PTB;TM MENGGER-7108
3003;20003145;PT LANCAR CENTRAL LOGISTIC;R00427;PTB-TM MENGGER-7108;MJ;Truck 50 M3;50;3.225.997;PTB;TM MENGGER-7108
3003;20009128;PT Sinar Guna Lestari;R00427;PTB-TM MENGGER-7108;MK;Truck 55 M3;55;3.190.000;PTB;TM MENGGER-7108
3003;20009966;Deli Jaya;R00427;PTB-TM MENGGER-7108;MK;Truck 55 M3;55;3.200.000;PTB;TM MENGGER-7108
3003;20003932;Mustika Candra, -;R00427;PTB-TM MENGGER-7108;ML;Truck 60 M3;60;3.600.000;PTB;TM MENGGER-7108
3003;20009128;PT Sinar Guna Lestari;R00427;PTB-TM MENGGER-7108;ML;Truck 60 M3;60;3.600.000;PTB;TM MENGGER-7108
3003;20003932;Mustika Candra, -;R00429;PTB-TM BANGKO-7103;MG;Truck 35 M3;35;9.939.375;PTB;TM BANGKO-7103
3003;20045405;PT Dhano Putra Transport;R00429;PTB-TM BANGKO-7103;MG;Truck 35 M3;35;9.939.375;PTB;TM BANGKO-7103
3003;20003932;Mustika Candra, -;R00429;PTB-TM BANGKO-7103;MH;Truck 40 M3;40;11.822.625;PTB;TM BANGKO-7103
3003;20045405;PT Dhano Putra Transport;R00429;PTB-TM BANGKO-7103;MH;Truck 40 M3;40;11.822.625;PTB;TM BANGKO-7103
3003;20014588;Seino Indomobil Logistics, PT;R00429;PTB-TM BANGKO-7103;MI;Truck 45 M3;45;19.750.000;PTB;TM BANGKO-7103
3003;20012838;PT Tri Daya Transport;R00430;PTB-TM BANJARNEGARA-7112;MD;Truck 16 M3;16;1.052.667;PTB;TM BANJARNEGARA-7112
3003;20013166;PT MITRA TOTAL PERSADA;R00430;PTB-TM BANJARNEGARA-7112;ME;Truck 25 M3;25;1.625.000;PTB;TM BANJARNEGARA-7112
3003;20012745;PT Kereta Api Logistik;R00435;PTB-MM BEKASI-7107;C3;Container 40 FT HC;69;7.550.000;PTB;MM BEKASI-7107
3003;20002883;Karya Total Mandiri, PT;R00435;PTB-MM BEKASI-7107;M4;Truck 20 M3;20;1.500.000;PTB;MM BEKASI-7107
3003;20004621;Putra Sae, UD;R00435;PTB-MM BEKASI-7107;MF;Truck 30 M3;30;1.700.064;PTB;MM BEKASI-7107
3003;20005736;PT Bintang Baru Raya;R00435;PTB-MM BEKASI-7107;MF;Truck 30 M3;30;2.000.000;PTB;MM BEKASI-7107
3003;20011982;PT Pos Logistik Indonesia;R00435;PTB-MM BEKASI-7107;MG;Truck 35 M3;35;2.400.000;PTB;MM BEKASI-7107
3003;20009128;PT Sinar Guna Lestari;R00435;PTB-MM BEKASI-7107;MG;Truck 35 M3;35;2.600.000;PTB;MM BEKASI-7107
3003;20005043;CV SANTIKA MANDIRI;R00435;PTB-MM BEKASI-7107;MH;Truck 40 M3;40;2.050.000;PTB;MM BEKASI-7107
3003;20009128;PT Sinar Guna Lestari;R00435;PTB-MM BEKASI-7107;MH;Truck 40 M3;40;2.075.000;PTB;MM BEKASI-7107
3003;20012429;CV Trans Logistik;R00435;PTB-MM BEKASI-7107;MH;Truck 40 M3;40;2.391.610;PTB;MM BEKASI-7107
3003;20011284;PT RAPI TRANS LOGISTIK INDONESIA;R00435;PTB-MM BEKASI-7107;MH;Truck 40 M3;40;2.445.395;PTB;MM BEKASI-7107
3003;20005043;CV SANTIKA MANDIRI;R00435;PTB-MM BEKASI-7107;MI;Truck 45 M3;45;2.250.000;PTB;MM BEKASI-7107
3003;20010271;PT HANA JAYA PUTRA TRANSPORT;R00435;PTB-MM BEKASI-7107;MI;Truck 45 M3;45;2.974.701;PTB;MM BEKASI-7107
3003;20015144;PT BHAKTI ABADI SEJAHTERA;R00435;PTB-MM BEKASI-7107;MI;Truck 45 M3;45;3.500.000;PTB;MM BEKASI-7107
3003;20010890;PT Hiba Logistik;R00435;PTB-MM BEKASI-7107;MJ;Truck 50 M3;50;2.427.556;PTB;MM BEKASI-7107
3003;20013765;PT CITRABATI LOGISTIK INTERNASIONAL;R00435;PTB-MM BEKASI-7107;MJ;Truck 50 M3;50;2.600.000;PTB;MM BEKASI-7107
3003;20012429;CV Trans Logistik;R00435;PTB-MM BEKASI-7107;MJ;Truck 50 M3;50;2.909.274;PTB;MM BEKASI-7107
3003;20004557;Pujo Santoso, -;R00435;PTB-MM BEKASI-7107;MJ;Truck 50 M3;50;2.943.056;PTB;MM BEKASI-7107
3003;20045876;PT Serasi Logistic Indonesia;R00435;PTB-MM BEKASI-7107;MJ;Truck 50 M3;50;2.943.500;PTB;MM BEKASI-7107
3003;20014588;Seino Indomobil Logistics, PT;R00436;PTB-TM BENGKULU-7104;MI;Truck 45 M3;45;19.120.000;PTB;TM BENGKULU-7104
3003;20003932;Mustika Candra, -;R00437;PTB-TM BETUNG-7103;MG;Truck 35 M3;35;7.428.375;PTB;TM BETUNG-7103
3003;20045405;PT Dhano Putra Transport;R00437;PTB-TM BETUNG-7103;MG;Truck 35 M3;35;7.428.375;PTB;TM BETUNG-7103
3003;20003932;Mustika Candra, -;R00437;PTB-TM BETUNG-7103;MH;Truck 40 M3;40;8.997.750;PTB;TM BETUNG-7103
3003;20045405;PT Dhano Putra Transport;R00437;PTB-TM BETUNG-7103;MH;Truck 40 M3;40;8.997.750;PTB;TM BETUNG-7103
3003;20002883;Karya Total Mandiri, PT;R00443;PTB-TM CIREBON-7110;M4;Truck 20 M3;20;1.500.000;PTB;TM CIREBON-7110
3003;20011057;CV SANTOSA JAYA ABADI;R00443;PTB-TM CIREBON-7110;MC;Truck 15 M3;15;1.020.000;PTB;TM CIREBON-7110
3003;20015058;PT JEJE HARAPAN TRANSINDO;R00443;PTB-TM CIREBON-7110;ME;Truck 25 M3;25;1.920.000;PTB;TM CIREBON-7110
3003;20000939;Box Garuda;R00443;PTB-TM CIREBON-7110;MF;Truck 30 M3;30;1.062.500;PTB;TM CIREBON-7110
3003;20005043;CV SANTIKA MANDIRI;R00443;PTB-TM CIREBON-7110;MF;Truck 30 M3;30;1.306.000;PTB;TM CIREBON-7110
3003;20002280;Himalaya;R00443;PTB-TM CIREBON-7110;MF;Truck 30 M3;30;1.306.650;PTB;TM CIREBON-7110
3003;20012860;PT Citra Karya Putra Transportasi;R00443;PTB-TM CIREBON-7110;MF;Truck 30 M3;30;1.750.000;PTB;TM CIREBON-7110
3003;20005736;PT Bintang Baru Raya;R00443;PTB-TM CIREBON-7110;MF;Truck 30 M3;30;2.000.000;PTB;TM CIREBON-7110
3003;20015058;PT JEJE HARAPAN TRANSINDO;R00443;PTB-TM CIREBON-7110;MF;Truck 30 M3;30;2.870.000;PTB;TM CIREBON-7110
3003;20012860;PT Citra Karya Putra Transportasi;R00443;PTB-TM CIREBON-7110;MG;Truck 35 M3;35;1.850.000;PTB;TM CIREBON-7110
3003;20013800;Andri Jaya, UD;R00443;PTB-TM CIREBON-7110;MH;Truck 40 M3;40;1.750.000;PTB;TM CIREBON-7110
3003;20009128;PT Sinar Guna Lestari;R00443;PTB-TM CIREBON-7110;MH;Truck 40 M3;40;1.800.000;PTB;TM CIREBON-7110
3003;20045876;PT Serasi Logistic Indonesia;R00443;PTB-TM CIREBON-7110;MH;Truck 40 M3;40;2.090.000;PTB;TM CIREBON-7110
3003;20012860;PT Citra Karya Putra Transportasi;R00443;PTB-TM CIREBON-7110;MH;Truck 40 M3;40;2.100.000;PTB;TM CIREBON-7110
3003;20012860;PT Citra Karya Putra Transportasi;R00443;PTB-TM CIREBON-7110;MI;Truck 45 M3;45;2.300.000;PTB;TM CIREBON-7110
3003;20015058;PT JEJE HARAPAN TRANSINDO;R00443;PTB-TM CIREBON-7110;MI;Truck 45 M3;45;3.450.000;PTB;TM CIREBON-7110
3003;20010890;PT Hiba Logistik;R00443;PTB-TM CIREBON-7110;MJ;Truck 50 M3;50;2.200.000;PTB;TM CIREBON-7110
3003;20004557;Pujo Santoso, -;R00443;PTB-TM CIREBON-7110;MJ;Truck 50 M3;50;2.300.000;PTB;TM CIREBON-7110
3003;20009128;PT Sinar Guna Lestari;R00443;PTB-TM CIREBON-7110;MJ;Truck 50 M3;50;2.300.000;PTB;TM CIREBON-7110
3003;20013800;Andri Jaya, UD;R00443;PTB-TM CIREBON-7110;MJ;Truck 50 M3;50;2.300.000;PTB;TM CIREBON-7110
3003;20045876;PT Serasi Logistic Indonesia;R00443;PTB-TM CIREBON-7110;MJ;Truck 50 M3;50;2.300.000;PTB;TM CIREBON-7110
3003;20011284;PT RAPI TRANS LOGISTIK INDONESIA;R00443;PTB-TM CIREBON-7110;MJ;Truck 50 M3;50;2.900.000;PTB;TM CIREBON-7110
3003;20012429;CV Trans Logistik;R00443;PTB-TM CIREBON-7110;MJ;Truck 50 M3;50;2.900.000;PTB;TM CIREBON-7110
3003;20005055;PT Sarijasa Transutama;R00445;PTB-TM BANJARMASIN;C1;Container 20 FT;29;12.075.000;PTB;TM BANJARMASIN
3003;20006020;Tanjung Priok Indah Line (TPIL), PT;R00445;PTB-TM BANJARMASIN;C1;Container 20 FT;29;12.257.763;PTB;TM BANJARMASIN
3003;20003657;Mitra Intertrans Forwarding - S, PT;R00445;PTB-TM BANJARMASIN;C1;Container 20 FT;29;12.300.000;PTB;TM BANJARMASIN
3003;20006254;PT Transporindo Agung Sejahtera;R00445;PTB-TM BANJARMASIN;C1;Container 20 FT;29;12.300.000;PTB;TM BANJARMASIN
3003;20006024;PT TANTO INTIM LINE;R00445;PTB-TM BANJARMASIN;C1;Container 20 FT;29;12.450.000;PTB;TM BANJARMASIN
3003;20011670;PT Global Logistic;R00445;PTB-TM BANJARMASIN;C1;Container 20 FT;29;12.800.000;PTB;TM BANJARMASIN
3003;20002789;PT KAMADJAJA LOGISTICS;R00445;PTB-TM BANJARMASIN;C1;Container 20 FT;29;13.700.000;PTB;TM BANJARMASIN
3003;20005055;PT Sarijasa Transutama;R00445;PTB-TM BANJARMASIN;C3;Container 40 FT HC;69;21.400.000;PTB;TM BANJARMASIN
3003;20006020;Tanjung Priok Indah Line (TPIL), PT;R00445;PTB-TM BANJARMASIN;C3;Container 40 FT HC;69;21.621.375;PTB;TM BANJARMASIN
3003;20006024;PT TANTO INTIM LINE;R00445;PTB-TM BANJARMASIN;C3;Container 40 FT HC;69;21.900.000;PTB;TM BANJARMASIN
3003;20003657;Mitra Intertrans Forwarding - S, PT;R00445;PTB-TM BANJARMASIN;C3;Container 40 FT HC;69;22.200.000;PTB;TM BANJARMASIN
3003;20006254;PT Transporindo Agung Sejahtera;R00445;PTB-TM BANJARMASIN;C3;Container 40 FT HC;69;22.200.000;PTB;TM BANJARMASIN
3003;20002789;PT KAMADJAJA LOGISTICS;R00445;PTB-TM BANJARMASIN;C3;Container 40 FT HC;69;22.250.000;PTB;TM BANJARMASIN
3003;20011670;PT Global Logistic;R00445;PTB-TM BANJARMASIN;C3;Container 40 FT HC;69;23.000.000;PTB;TM BANJARMASIN
3003;20010271;PT HANA JAYA PUTRA TRANSPORT;R00447;PTB-DC GRESIK;C3;Container 40 FT HC;69;4.750.000;PTB;DC GRESIK
3003;20012745;PT Kereta Api Logistik;R00447;PTB-DC GRESIK;C3;Container 40 FT HC;69;6.500.000;PTB;DC GRESIK
3003;20015058;PT JEJE HARAPAN TRANSINDO;R00447;PTB-DC GRESIK;M4;Truck 20 M3;20;1.700.000;PTB;DC GRESIK
3003;20000939;Box Garuda;R00447;PTB-DC GRESIK;MF;Truck 30 M3;30;981.750;PTB;DC GRESIK
3003;20002280;Himalaya;R00447;PTB-DC GRESIK;MF;Truck 30 M3;30;1.155.060;PTB;DC GRESIK
3003;20011284;PT RAPI TRANS LOGISTIK INDONESIA;R00447;PTB-DC GRESIK;MH;Truck 40 M3;40;1.850.219;PTB;DC GRESIK
3003;20045876;PT Serasi Logistic Indonesia;R00447;PTB-DC GRESIK;MH;Truck 40 M3;40;1.873.344;PTB;DC GRESIK
3003;20014588;Seino Indomobil Logistics, PT;R00447;PTB-DC GRESIK;MI;Truck 45 M3;45;1.300.000;PTB;DC GRESIK
3003;20004683;CV RAJAWALI TRANS NUSANTARA;R00447;PTB-DC GRESIK;MI;Truck 45 M3;45;1.500.000;PTB;DC GRESIK
3003;20000721;CV BAROKAH JAYA;R00447;PTB-DC GRESIK;MI;Truck 45 M3;45;1.614.849;PTB;DC GRESIK
3003;20004205;Panthera Biru Indonesia, PT;R00447;PTB-DC GRESIK;MI;Truck 45 M3;45;1.650.000;PTB;DC GRESIK
3003;20011106;PT Abdi Prima Sentosa;R00447;PTB-DC GRESIK;MI;Truck 45 M3;45;1.794.000;PTB;DC GRESIK
3003;20012861;PT Surya Sarana Saputra;R00447;PTB-DC GRESIK;MI;Truck 45 M3;45;1.794.000;PTB;DC GRESIK
3003;20045876;PT Serasi Logistic Indonesia;R00447;PTB-DC GRESIK;MI;Truck 45 M3;45;2.090.000;PTB;DC GRESIK
3003;20011057;CV SANTOSA JAYA ABADI;R00447;PTB-DC GRESIK;MI;Truck 45 M3;45;2.100.000;PTB;DC GRESIK
3003;20011284;PT RAPI TRANS LOGISTIK INDONESIA;R00447;PTB-DC GRESIK;MI;Truck 45 M3;45;2.230.143;PTB;DC GRESIK
3003;20010271;PT HANA JAYA PUTRA TRANSPORT;R00447;PTB-DC GRESIK;MI;Truck 45 M3;45;2.500.000;PTB;DC GRESIK
3003;20015058;PT JEJE HARAPAN TRANSINDO;R00447;PTB-DC GRESIK;MI;Truck 45 M3;45;3.200.000;PTB;DC GRESIK
3003;20005736;PT Bintang Baru Raya;R00448;PTB-DC RANCAEKEK;C3;Container 40 FT HC;69;4.000.000;PTB;DC RANCAEKEK
3003;20013706;PT Lapan Lima Logistic;R00448;PTB-DC RANCAEKEK;C3;Container 40 FT HC;69;4.500.000;PTB;DC RANCAEKEK
3003;20010271;PT HANA JAYA PUTRA TRANSPORT;R00448;PTB-DC RANCAEKEK;C3;Container 40 FT HC;69;6.700.000;PTB;DC RANCAEKEK
3003;20002883;Karya Total Mandiri, PT;R00448;PTB-DC RANCAEKEK;M4;Truck 20 M3;20;1.500.000;PTB;DC RANCAEKEK
3003;20011284;PT RAPI TRANS LOGISTIK INDONESIA;R00448;PTB-DC RANCAEKEK;ME;Truck 25 M3;25;1.645.000;PTB;DC RANCAEKEK
3003;20015058;PT JEJE HARAPAN TRANSINDO;R00448;PTB-DC RANCAEKEK;ME;Truck 25 M3;25;2.500.000;PTB;DC RANCAEKEK
3003;20000939;Box Garuda;R00448;PTB-DC RANCAEKEK;MF;Truck 30 M3;30;1.360.000;PTB;DC RANCAEKEK
3003;20009128;PT Sinar Guna Lestari;R00448;PTB-DC RANCAEKEK;MF;Truck 30 M3;30;1.554.198;PTB;DC RANCAEKEK
3003;20000666;CV BAHAGIA JAYA;R00448;PTB-DC RANCAEKEK;MF;Truck 30 M3;30;1.578.548;PTB;DC RANCAEKEK
3003;20005043;CV SANTIKA MANDIRI;R00448;PTB-DC RANCAEKEK;MF;Truck 30 M3;30;1.600.000;PTB;DC RANCAEKEK
3003;20011057;CV SANTOSA JAYA ABADI;R00448;PTB-DC RANCAEKEK;MF;Truck 30 M3;30;2.150.000;PTB;DC RANCAEKEK
3003;20012860;PT Citra Karya Putra Transportasi;R00448;PTB-DC RANCAEKEK;MG;Truck 35 M3;35;2.300.000;PTB;DC RANCAEKEK
3003;20009966;Deli Jaya;R00448;PTB-DC RANCAEKEK;MH;Truck 40 M3;40;2.150.000;PTB;DC RANCAEKEK
3003;20000666;CV BAHAGIA JAYA;R00448;PTB-DC RANCAEKEK;MH;Truck 40 M3;40;2.220.015;PTB;DC RANCAEKEK
3003;20005043;CV SANTIKA MANDIRI;R00448;PTB-DC RANCAEKEK;MH;Truck 40 M3;40;2.250.000;PTB;DC RANCAEKEK
3003;20012429;CV Trans Logistik;R00448;PTB-DC RANCAEKEK;MH;Truck 40 M3;40;2.270.822;PTB;DC RANCAEKEK
3003;20045405;PT Dhano Putra Transport;R00448;PTB-DC RANCAEKEK;MH;Truck 40 M3;40;2.270.822;PTB;DC RANCAEKEK
3003;20011284;PT RAPI TRANS LOGISTIK INDONESIA;R00448;PTB-DC RANCAEKEK;MH;Truck 40 M3;40;2.321.890;PTB;DC RANCAEKEK
3003;20009128;PT Sinar Guna Lestari;R00448;PTB-DC RANCAEKEK;MH;Truck 40 M3;40;2.350.000;PTB;DC RANCAEKEK
3003;20013765;PT CITRABATI LOGISTIK INTERNASIONAL;R00448;PTB-DC RANCAEKEK;MH;Truck 40 M3;40;2.534.954;PTB;DC RANCAEKEK
3003;20005736;PT Bintang Baru Raya;R00448;PTB-DC RANCAEKEK;MI;Truck 45 M3;45;2.300.000;PTB;DC RANCAEKEK
3003;20009966;Deli Jaya;R00448;PTB-DC RANCAEKEK;MI;Truck 45 M3;45;2.350.000;PTB;DC RANCAEKEK
3003;20014588;Seino Indomobil Logistics, PT;R00448;PTB-DC RANCAEKEK;MI;Truck 45 M3;45;2.400.000;PTB;DC RANCAEKEK
3003;20005043;CV SANTIKA MANDIRI;R00448;PTB-DC RANCAEKEK;MI;Truck 45 M3;45;2.500.000;PTB;DC RANCAEKEK
3003;20009128;PT Sinar Guna Lestari;R00448;PTB-DC RANCAEKEK;MI;Truck 45 M3;45;2.600.000;PTB;DC RANCAEKEK
3003;20012860;PT Citra Karya Putra Transportasi;R00448;PTB-DC RANCAEKEK;MI;Truck 45 M3;45;2.700.000;PTB;DC RANCAEKEK
3003;20045405;PT Dhano Putra Transport;R00448;PTB-DC RANCAEKEK;MI;Truck 45 M3;45;2.700.000;PTB;DC RANCAEKEK
3003;20011057;CV SANTOSA JAYA ABADI;R00448;PTB-DC RANCAEKEK;MI;Truck 45 M3;45;2.737.409;PTB;DC RANCAEKEK
3003;20013166;PT MITRA TOTAL PERSADA;R00448;PTB-DC RANCAEKEK;MI;Truck 45 M3;45;2.900.000;PTB;DC RANCAEKEK
3003;20010271;PT HANA JAYA PUTRA TRANSPORT;R00448;PTB-DC RANCAEKEK;MI;Truck 45 M3;45;3.000.000;PTB;DC RANCAEKEK
3003;20010271;PT HANA JAYA PUTRA TRANSPORT;R00448;PTB-DC RANCAEKEK;MI;Truck 45 M3;45;3.300.000;PTB;DC RANCAEKEK
3003;20015058;PT JEJE HARAPAN TRANSINDO;R00448;PTB-DC RANCAEKEK;MI;Truck 45 M3;45;4.400.000;PTB;DC RANCAEKEK
3003;20009966;Deli Jaya;R00448;PTB-DC RANCAEKEK;MJ;Truck 50 M3;50;2.600.000;PTB;DC RANCAEKEK
3003;20009128;PT Sinar Guna Lestari;R00448;PTB-DC RANCAEKEK;MJ;Truck 50 M3;50;2.700.000;PTB;DC RANCAEKEK
3003;20010890;PT Hiba Logistik;R00448;PTB-DC RANCAEKEK;MJ;Truck 50 M3;50;2.700.000;PTB;DC RANCAEKEK
3003;20013166;PT MITRA TOTAL PERSADA;R00448;PTB-DC RANCAEKEK;MJ;Truck 50 M3;50;3.000.000;PTB;DC RANCAEKEK
3003;20011057;CV SANTOSA JAYA ABADI;R00448;PTB-DC RANCAEKEK;MJ;Truck 50 M3;50;3.041.566;PTB;DC RANCAEKEK
3003;20012429;CV Trans Logistik;R00448;PTB-DC RANCAEKEK;MJ;Truck 50 M3;50;3.041.566;PTB;DC RANCAEKEK
3003;20045405;PT Dhano Putra Transport;R00448;PTB-DC RANCAEKEK;MJ;Truck 50 M3;50;3.041.566;PTB;DC RANCAEKEK
3003;20013800;Andri Jaya, UD;R00448;PTB-DC RANCAEKEK;MJ;Truck 50 M3;50;3.050.000;PTB;DC RANCAEKEK
3003;20013765;PT CITRABATI LOGISTIK INTERNASIONAL;R00448;PTB-DC RANCAEKEK;MJ;Truck 50 M3;50;3.087.054;PTB;DC RANCAEKEK
